"CURSO;DISCIPLINA;PERIODO;PRE_REQUISITOS"
"GCIV;Arquitetura e Urbanismo I;4;Fundamentos de Desenho de Projeto"
"GCIV;Topografia e Geodésia;4;Desenho Técnico"
"GCIV;Gestão da Qualidade;4;Estatística"
"GCIV;Projeto Estruturante II;4;Projeto Estruturante I"
"GCIV;Fenômenos de Transferência;5;Física Térmica"
"GCIV;Ondas;5;Eletricidade Básica,Física térmica"
"GCIV;Materiais de Const. Civil I;5;Química,60 Créditos"
"GCIV;Computação Gráfica;5;Fundamentos de Desenho de Projeto,Topografia e Geodésia"
"GCIV;Geotecnia;5;60 Créditos"
"GCIV;Resistência dos Materiais II;5;Resistência dos Materiais I"
"GCIV;Arquitetura e Urbanismo II;5;Fundamentos de Desenho de Projeto"
"GCIV;Materiais de Const.Civil II;6;Materiais de Const.Civil I"
"GCIV;Rodovias e Ferrovias I;6;Topografia e Geodésia"
"GCIV;Inst.Hidráulicas e Sanitárias;6;Fundamentos de Desenho de Projeto"
"GCIV;Mecânica dos Solos I;6;Geotecnia"
"GCIV;Sistemas Estruturais e Teoria das Estruturas;6;Mecânica Geral"
"GCIV;Hidráulica e Hidrologia;7;Fenômenos de Transferencia,Topografia e Geodésia"
"GCIV;Saneamento Básico;7;Fenômenos de Transferencia,Topografia e Geodésia,Química,Inst. Hidraulicas e Sanitárias"
"GCIV;Rodovias e Ferrovias II;7;Rodovias e Ferrovias I"
"GCIV;Instalações Elétricas;7;Fundamentos de Desenho de Projeto,Eletricidade Básica"
"GCIV;Mecânica dos Solos II;7;Mecânica dos Solos I,Resistência dos Materiais II"
"GCIV;Estruturas I;7;Sistemas Estruturais e Teoria das Estruturas"
"GCIV;Tecnologia HidroSanitária;8;Saneamento Básico,Hidráulica e Hidrologia"
"GCIV;Sistemas Viários;8;Sistemas e Obras de Engenharia para Cidades,Conclusão de 100 créditos"
"GCIV;Portos, Meios e Vias Navegaveis;8;Fenômenos de Transferencia,Topografia e Geodésia"
"GCIV;Estágio Supervisionado;8;Conclusão de 120 créditos"
"GCIV;Estruturas II;8;Estruturas I,Resistência dos Materiais II"
"GCIV;Recursos Naturais I;8;Ciências do Ambiente"
"GCIV;Tecnologia das Construções I;8;Fundamentos de Desenho de Projeto,Materiais de Const.Civil II"
"GCIV;Fundações;8;Mecânica dos Solos II"
"GCIV;Gestão Sanitária do Ambiente;9;Saneamento Básico"
"GCIV;Transporte e Logística;9;Sistemas Viários"
"GCIV;Estruturas III;9;Estruturas II"
"GCIV;Gestão Ambiental I;9;Recursos Naturais I"
"GCIV;Tecnologia da Construções II;9;Tecnologia das Construções I"
"GCIV;Projeto Final I;9;Metodologia Científica,Conclusão de 170 créditos"
"GCIV;Gestão Ambiental II;10;Gestão Ambiental I"
"GCIV;Orçamento Planejamento e Controle de Obras Civis;10;Tecnologia da Construções II"
"GCIV;Estruturas IV;10;Estruturas I,Resistência dos Materiais II"
"GCIV;Projeto Final II;10;Projeto Final I"
"GEL;Cálculo a uma Variável;1;"
"GEL;Álgebra Linear I;1;"
"GEL;Introdução à Engenharia;1;"
"GEL;Química;1;"
"GEL;Desenho;1;"
"GEL;Cálc. A Várias Variáveis;2;Cálculo a Uma Variável,Álgebra Linear I"
"GEL;Álgebra Linear II;2;Álgebra Linear I"
"GEL;Mecânica Básica;2;Cálculo a Uma Variável,Álgebra Linear I"
"GEL;H.C.S.;2;"
"GEL;Metodologia Científica;2;"
"GEL;Computação;2;"
"GEL;Cálculo Vetorial;3;Cálc. A Várias Variáveis"
"GEL;E.D.O.;3;Cálculo a uma Variável,Álgebra Linear II"
"GEL;Mecânica Geral;3;Álgebra Linear II,Mecânica Básica"
"GEL;Eletricidade Básica;3;Cálc. A Várias Variáveis,Mecânica Básica"
"GEL;Estatística;3;Cálc. A Várias Variáveis"
"GEL;Cálculo Numérico;3;Cálculo a Uma Variável,Computação"
"GEL;Fund. de Eng. De Seg.;3;"
"GEL;Variáveis Complexas;4;Cálc. A Várias Variáveis"
"GEL;E.D.P.S.;4;E.D.O."
"GEL;Física Térmica;4;Mecânica Básica"
"GEL;Circuitos Elétricos I;4;Eletricidade Básica"
"GEL;Materiais Elétricos;4;Química,Eletricidade Básica"
"GEL;Eletrônica Digital;4;Eletricidade Básica"
"GEL;Resist. de Mat. III;4;Mecânica Geral"
"GEL;Desenho Técnico I;4;Desenho"
"GEL;Fenômenos de Transp.;5;Física Térmica"
"GEL;Ondas;5;Eletricidade Básica,Física Térmica,E.D.O."
"GEL;Eletromag I;5;Eletricidade Básica"
"GEL;Circuitos Elétricos II;5;Circuitos Elétricos I"
"GEL;Eletrônica I;5;Circuitos Elétricos I"
"GEL;Ciências do Ambiente;5;Química"
"GEL;Desenho Técnico II;5;Desenho Técnico I"
"GEL;Economia;5;"
"GEL;Sinais e Sistemas;6;E.D.O.,Variáveis Complexas"
"GEL;Eletromag II;6;Eletromag I"
"GEL;Conversão de Energia I;6;Eletromag I,Circuitos Elétricos II"
"GEL;Eletrônica II;6;Circuitos Elétricos II,Eletrônica I"
"GEL;Controle e Servomec. I;6;Circuitos Elétricos II"
"GEL;Corrente Alternada I;6;Circuitos Elétricos II"
"GEL;Planej. da Produção;6;Número de Créditos  60"
"GEL;Med. Elet E Magnéticas;7;Eletrônica I"
"GEL;Calc. Elet. de Linhas de Transm.;7;Corrente Alternada I,Eletromag II"
"GEL;Conversão de Energia II;7;Conversão de Energia I"
"GEL;Controle e Servomec. II;7;Controle e Servomec I"
"GEL;Corrente Alternada II;7;Corrente Alternada I"
"GEL;Instalações Elétricas;7;Corrente Alternada I"
"GEL;Calc. Mec. de Linhas de Transm.;7;Resist. de Mat. III"
"GEL;Acionamentos Elétricos;8;Conversão de Energia II,Instalações Elétricas"
"GEL;Análise de Sist. de Pot. I;8;Corrente Alternada II"
"GEL;Eletrônica Industrial;8;Conversão de Energia I,Eletrônica I"
"GEL;Inst. Elet. Industriais;8;Instalações Elétricas"
"GEL;Subst. Indust. e Equip.;8;Instalações Eletricas"
"GEL;Administração;8;"
"GEL;Geração;8;Conversão de Energia I"
"GEL;Distribuição de Energia;9;Instalações Elétricas"
"GEL;Análise de Sist. De Pot. II;9;Análise de Sist. de Pot. I"
"GEL;Projeto Final I;9;Número de Créditos  130"
"GEL;Prot. do Sistema Elet.;9;Análise de Sist. de Pot. I"
"GEL;Estab. de Sist. de Pot. I;10;Análise de Sist. de Pot II"
"GEL;Projeto Final II;10;Projeto Final I"
"GEL;Transitórios Eletromag.;10;Análise de Sist. de Pot I"
"GEL;Sistemas de Qualidade;10;Número de Créditos  100"
"GEL;Estágio Supervisionado;10;Número de Créditos  120"
"GELT;Cálculo a uma Variável;1;"
"GELT;Álgebra Linear I;1;"
"GELT;Desenho;1;"
"GELT;Química;1;"
"GELT;Introdução a Engenharia;1;"
